filename,class,xmin,ymin,width,height,xmax,ymax
"WSLP_all/000001@30.0691806014811,-90.7037148804773.jpg",1,35,283,184,131,219,414
"WSLP_all/000001@30.0691806014811,-90.7037148804773.jpg",1,261,270,212,143,473,413
"WSLP_all/000002@30.0691006631248,-90.7036686904975.jpg",3,0,295,113,109,113,404
"WSLP_all/000002@30.0691006631248,-90.7036686904975.jpg",1,408,273,223,134,631,407
"WSLP_all/000002@30.0691006631248,-90.7036686904975.jpg",1,225,285,176,120,401,405
"WSLP_all/000003@30.06894064123,-90.7035687865999.jpg",2,322,278,119,125,441,403
"WSLP_all/000004@30.0697424227181,-90.7035376380606.jpg",2,462,280,167,95,629,375
"WSLP_all/000004@30.0697424227181,-90.7035376380606.jpg",1,77,283,306,125,383,408
"WSLP_all/000005@30.0690792523959,-90.7030727921416.jpg",2,0,285,142,88,142,373
"WSLP_all/000005@30.0690792523959,-90.7030727921416.jpg",1,147,271,294,118,441,389
"WSLP_all/000006@30.0681407688683,-90.7030792961667.jpg",1,129,279,195,122,324,401
"WSLP_all/000007@30.0679917445253,-90.7029791348097.jpg",1,268,293,225,142,493,435
"WSLP_all/000008@30.0681573315729,-90.7025179080433.jpg",1,94,221,436,239,530,460
"WSLP_all/000009@30.067561680929,-90.7021539085254.jpg",3,92,273,292,113,384,386
"WSLP_all/000010@30.0670428184808,-90.7018616340089.jpg",1,76,270,347,133,423,403
"WSLP_all/000011@30.0668726620728,-90.7017760577414.jpg",1,57,294,490,105,547,399
"WSLP_all/000012@30.0726198378876,-90.705808856683.jpg",1,233,332,209,119,442,451
"WSLP_all/000013@30.0710044760385,-90.7048150495132.jpg",3,269,315,233,102,502,417
"WSLP_all/000014@30.0708890673718,-90.7047520094697.jpg",1,225,313,263,91,488,404
"WSLP_all/000015@30.0704892733691,-90.7045160886071.jpg",1,206,295,339,111,545,406
"WSLP_all/000016@30.0693313344682,-90.7037872117021.jpg",1,220,280,208,127,428,407
"WSLP_all/000018@30.0467332343307,-90.7556854405578.jpg",1,141,289,222,110,363,399
